Date	PM2.5	Aluminum	Ammonium Ion	Arsenic	Barium	Bromine	Calcium	Chlorine	Chromium	Copper	Elemental Carbon	Iron	Lead	Manganese	Nickel	Organic Carbon	OM	Potassium Ion	Selenium	Silicon	Sodium Ion	Sulfate	Titanium	Total Nitrate	Vanadium	Zinc
5/22/2001	1.01	0.020833333	0.114405576	0.003166667	0.074166667	0.002666667	0.010718945	0.0125	0.002166667	0.002166667	0.109003025	0.010864581	0.007416667	0.002916667	0.001583333	0.336801936	0.47152271	0.021327748	0.002833333	0.018769148	0.068655483	0.207351642	0.004416667	0.109405193	0.003166667	0.002152166
5/25/2001	1.4	0.020833333	0.152097455	0.003166667	0.074166667	0.002666667	0.010596567	0.0125	0.002166667	0.002166667	0.208333333	0.010514797	0.007416667	0.002916667	0.001583333	0.347457432	0.486440405	0.020910872	0.002833333	0.019159134	0.065831826	0.275066507	0.004416667	0.129353377	0.003166667	0.002916667
5/31/2001	0.53	0.023726734	0.054053638	0.003166667	0.074166667	0.002666667	0.017125964	0.0125	0.002166667	0.001593872	0.109787663	0.011879322	0.007416667	0.002916667	0.001583333	0.317529299	0.444541019	0.02094484	0.002833333	0.022226111	0.029259511	0.110638515	0.002756108	0.073163501	0.003166667	0.002093358
6/3/2001	0.99	0.020833333	0.097844958	0.003166667	0.074166667	0.002666667	0.010543461	0.0125	0.002166667	0.002166667	0.208333333	0.010758675	0.007416667	0.002916667	0.001583333	0.306186439	0.428661015	0.020938817	0.002833333	0.018699329	0.04038004	0.214318229	0.004416667	0.077453268	0.003166667	0.002084988
6/6/2001	1.35	0.020833333	0.191156051	0.003166667	0.074166667	0.001205986	0.01190434	0.0125	0.002166667	0.00164268	0.130366228	0.011882257	0.007416667	0.002916667	0.001583333	0.505888848	0.708244387	0.020992633	0.002833333	0.020424321	0.04328812	0.392718708	0.002782923	0.090791223	0.003166667	0.002296849
6/9/2001	1.45	0.020833333	0.087895596	0.003166667	0.074166667	0.002666667	0.018330298	0.0125	0.002166667	0.001635932	0.118940185	0.013686089	0.007416667	0.002916667	0.001583333	0.531511717	0.744116404	0.021011889	0.002833333	0.021374752	0.032578819	0.188951166	0.002843918	0.0739602	0.003166667	0.002247736
6/12/2001	4.02	0.020833333	0.305426973	0.003166667	0.074166667	0.00122661	0.014356515	0.0125	0.002166667	0.001780092	0.123661205	0.019994885	0.007416667	0.002205429	0.001292929	0.695695861	0.973974206	0.021354455	0.001320219	0.022682152	0.038233243	0.735338387	0.003066189	0.079692448	0.003166667	0.004412079
6/18/2001	1.95	0.020833333	0.138089231	0.003166667	0.074166667	0.001199061	0.014015455	0.0125	0.002166667	0.002166667	0.108873484	0.012190235	0.007416667	0.002916667	0.001583333	0.508519569	0.711927397	0.021056064	0.002833333	0.019424935	0.039551637	0.327620487	0.002808974	0.073989612	0.003166667	0.002332449
6/21/2001	1.35	0.01676	0.215812154	0.00392	0.0272	0.01468	0.143	0.01054	0.00208	0.01126	0.113978046	0.326	0.01728	0.00792	0.00512	0.522629033	0.731680646	0.021126068	0.00548	0.209	0.048617472	0.526302711	0.0146	0.08584111	0.00932	0.0534
6/24/2001	0.84	0.020833333	0.066855803	0.003166667	0.074166667	0.002666667	0.010461032	0.0125	0.002166667	0.001707326	0.110426291	0.01063834	0.007416667	0.002916667	0.001583333	0.347457432	0.486440405	0.020825252	0.002833333	0.018576329	0.029243723	0.154060194	0.004416667	0.072874868	0.003166667	0.002079914
